word_dutch,concrete_list,concrete_mean,concrete_sd,concrete_ratings_n,concrete_unknown_response_n,concrete_sample_n,aoa_list,aoa_sample_n,aoa_known_probability,aoa_mean,aoa_sd
aai,4,4.07,1.21,14,1,15,1,18,1,5.277777778,2.492472327
aaien,5,4.13,0.99,15,0,15,NA,NA,NA,NA,NA
aak,1,4.67,0.52,6,9,15,2,20,0.1,10.5,4.949747468
aal,5,4.69,0.63,13,2,15,NA,NA,NA,NA,NA
aalbes,2,4.73,0.59,15,0,15,3,18,1,9.777777778,2.734433064
aalglad,2,2.64,1.28,14,1,15,4,18,0.833333333,12.2,2.956832282
aalmoes,4,3.38,1.12,13,2,15,NA,NA,NA,NA,NA
aalmoezenier,2,2.87,1.3,15,0,15,1,18,0.833333333,11.8,3.051931473
aalscholver,3,4.27,1.01,11,4,15,2,20,0.55,12.09090909,3.176619129
aalt,1,5,0,4,11,15,3,18,0.166666667,16.33333333,5.859465277
aambeeld,2,3.79,1.31,14,1,15,4,18,1,11.44444444,3.091206165
aambei,2,4.13,1.06,15,0,15,1,18,0.944444444,13.52941176,2.831025588
aambeien,4,4.43,0.51,14,1,15,2,20,0.95,12.26315789,3.246230382
aamborstig,3,1.5,0.84,6,9,15,3,18,0.166666667,13.33333333,2.081665999
aan,3,1.93,1.03,15,0,15,4,18,1,5.5,3.185444839
aanbaksel,2,3.93,1.03,15,0,15,1,18,1,10.77777778,2.734433064
aanbedene,3,1.93,1.07,14,1,15,2,20,0.85,11,3.061862178
aanbelanden,5,2.67,1.35,15,0,15,3,18,1,10.38888889,2.615314375
aanbelangen,3,2.07,0.96,15,0,15,4,18,1,12.16666667,2.935582916
aanbellen,2,4.13,0.74,15,0,15,1,18,1,7.388888889,2.226548077
aanbesteden,5,2,1.15,13,2,15,2,20,0.95,11.94736842,2.613505186
aanbesteding,1,2.13,1.36,15,0,15,3,18,1,13.88888889,3.178769442
aanbetaling,2,2,0.93,15,0,15,4,18,0.944444444,12.94117647,3.030482392
aanbevelen,4,2,0.93,15,0,15,1,18,1,10.72222222,2.585151163
aanbeveling,1,2.2,1.26,15,0,15,2,20,1,10.85,3.013565819
aanbiddelijk,5,1.67,0.72,15,0,15,3,18,1,10.72222222,2.052417672
aanbidden,5,2.33,1.05,15,0,15,4,18,1,10.11111111,2.987993403
aanbidder,2,2.6,1.12,15,0,15,1,18,1,9.888888889,2.470743848
aanbidding,3,2.07,1.03,15,0,15,2,20,1,9.35,2.560324815
aanbieden,4,2.73,1.03,15,0,15,3,18,1,9.611111111,2.090282528
aanbieding,1,2.8,1.21,15,0,15,4,18,0.944444444,10.29411765,2.995094028
aanblijven,3,2.27,1.03,15,0,15,1,18,1,9.166666667,1.977818168
aanblik,2,2.6,0.91,15,0,15,2,20,1,9.9,2.468752082
aanbod,3,2.13,0.99,15,0,15,3,18,1,9.222222222,2.462795054
aanboren,4,2.87,0.99,15,0,15,4,18,0.888888889,12,2.75680975
aanbouw,2,3.5,1.34,14,1,15,1,18,1,10.55555556,2.661760192
aanbraden,5,3.53,1.13,15,0,15,2,20,0.8,9,3.011090611
aanbranden,2,3.87,0.99,15,0,15,3,18,1,7.277777778,1.964555198
aanbreken,3,1.87,0.83,15,0,15,4,18,0.944444444,9.941176471,3.131904138
aanbrengen,2,2.33,1.23,15,0,15,1,18,1,8.833333333,2.74933147
aandacht,2,1.87,0.83,15,0,15,2,20,1,8.15,3.483419373
aandachtig,4,2.13,0.83,15,0,15,NA,NA,NA,NA,NA
aandachtspunt,1,2,1.25,15,0,15,3,18,1,10.61111111,2.033220826
aandeel,4,2.33,0.82,15,0,15,4,18,1,11.5,3.382480816
aandeelhouder,1,2.73,1.62,15,0,15,1,18,1,11.94444444,2.484593048
aandelen,4,2.53,0.92,15,0,15,2,20,0.95,12.89473684,2.55809688
aandenken,4,2.33,1.18,15,0,15,3,18,1,8.722222222,2.346600935
aandikken,2,3.33,0.98,15,0,15,4,18,1,10.66666667,2.786522184
aandoen,1,3.6,1.12,15,0,15,1,18,1,6.555555556,2.97484003
aandoening,2,2.2,1.08,15,0,15,2,20,1,10.55,2.910507281
aandoenlijk,3,1.47,0.64,15,0,15,3,18,1,11.5,2.706202027
aandraaien,3,3.13,1.25,15,0,15,4,18,1,9.555555556,3.110177264
aandrang,3,1.93,1.16,15,0,15,1,18,1,10.88888889,2.846853555
aandraven,5,2.79,1.19,14,1,15,3,18,0.944444444,11.11764706,2.781239673
aandrift,3,1.83,1.11,12,3,15,2,20,0.65,12.23076923,2.891189091
aandrijven,3,2.53,1.06,15,0,15,3,18,1,10.5,2.382534488
aandrijving,1,3.33,1.18,15,0,15,4,18,1,12.33333333,2.326319992
aandringen,4,2.73,1.28,15,0,15,1,18,1,9.222222222,2.04523997
aandrukken,3,3.4,1.24,15,0,15,2,20,1,8.35,2.739093204
aanduiden,2,3.67,0.9,15,0,15,3,18,1,7.111111111,2.968241486
aanduiding,2,2.6,0.99,15,0,15,4,18,1,10.16666667,2.684377461
aandurven,1,2.13,1.13,15,0,15,4,18,1,9.555555556,3.091206165
aaneen,2,2.27,1.1,15,0,15,1,18,1,7.666666667,2.47338777
aanflitsen,2,2.91,1.22,11,4,15,1,18,0.888888889,10.0625,3.234578798
aanfluiting,2,2.17,1.03,12,3,15,2,20,0.7,11.35714286,2.46848265
aangaan,5,2.07,0.96,15,0,15,3,18,1,9.722222222,2.371536002
aangaande,4,1.27,0.46,15,0,15,4,18,1,11.61111111,2.87256575
aangapen,1,3.8,1.01,15,0,15,1,18,1,9.111111111,2.2980526
aangebonden,4,2.71,1.07,14,1,15,2,20,1,9.65,2.49789385
aangeboren,5,1.6,0.63,15,0,15,3,18,1,9.722222222,1.903728711
aangedaan,4,2.07,0.88,15,0,15,4,18,1,10.27777778,2.966589556
aangeklaagde,3,2.13,1.19,15,0,15,2,20,1,11.7,2.921787485
aangelegenheid,4,2,0.96,14,1,15,3,18,1,11.27777778,2.652536091
aangenaam,5,1.73,1.1,15,0,15,NA,NA,NA,NA,NA
aangeschoten,5,2.87,0.83,15,0,15,1,18,1,11.66666667,2.950573224
aangeslagen,4,2.33,1.23,15,0,15,2,20,1,10.35,2.368099393
aangetrouwd,1,2.47,1.46,15,0,15,3,18,1,10.05555556,2.287362268
aangeven,5,2.6,1.18,15,0,15,4,18,0.944444444,9.058823529,2.946832796
aangever,5,2.54,1.13,13,2,15,1,18,0.944444444,10.35294118,2.47338777
aangewezen,2,1.8,0.86,15,0,15,2,20,1,10.85,3.013565819
aangezicht,1,4.2,0.56,15,0,15,3,18,1,8.5,2.407097349
aangezien,4,1.29,0.47,14,1,15,4,18,1,10.77777778,2.819168746
aangifte,4,2.67,1.35,15,0,15,1,18,1,11.27777778,2.886185261
aangrenzend,1,3,0.93,15,0,15,2,20,1,10.85,2.641271624
aangrijpen,1,2.53,1.06,15,0,15,3,18,1,10.77777778,2.579456294
aangrijpend,4,2.27,0.88,15,0,15,4,18,1,10.77777778,2.839957654
aangroei,3,2.53,1.25,15,0,15,4,18,1,10.44444444,2.502286536
aangroeien,1,3,1.07,15,0,15,1,18,1,9,2.249182858
aanhalen,5,2.2,0.77,15,0,15,2,20,0.95,9.421052632,2.292882453
aanhalerig,4,1.67,0.65,12,3,15,3,18,0.833333333,12.66666667,3.598941643
aanhalig,1,1.85,1.14,13,2,15,4,18,0.888888889,12,3.540244813
aanhalingsteken,2,3.73,1.33,15,0,15,1,18,1,9.777777778,2.712835624
aanhang,5,2.07,1.1,15,0,15,2,20,1,10.6,2.798495837
aanhangen,2,2.8,1.26,15,0,15,3,18,1,9.444444444,2.705598166
aanhanger,4,2.57,1.45,14,1,15,4,18,1,11.38888889,2.810461316
aanhangig,2,2.23,1.01,13,2,15,1,18,0.722222222,10.69230769,2.428463691
aanhangsel,3,2.67,1.11,15,0,15,2,20,1,9.9,2.751076344
aanhangwagen,4,4.67,0.49,15,0,15,3,18,1,9,3.143620992
aanhankelijk,2,2.27,1.03,15,0,15,4,18,0.944444444,10.70588235,3.386825687
aanhebben,4,3,1.31,15,0,15,1,18,1,7.055555556,2.312936057
aanhef,1,2.6,1.24,15,0,15,2,20,1,11.45,2.742933505
aanheffen,1,2.13,0.83,15,0,15,3,18,1,12.44444444,2.035630332
aanhikken,4,2.11,1.05,9,6,15,4,18,0.555555556,11.6,5.581716184
aanhoren,5,2.8,1.01,15,0,15,1,18,1,8.555555556,2.548868774
aanhorig,2,1.85,0.8,13,2,15,2,20,0.8,12.8125,2.509149922
aanhouden,2,2.53,0.83,15,0,15,3,18,1,9.444444444,2.228748586
aanhoudend,4,1.87,0.92,15,0,15,4,18,1,10.61111111,2.226548077
aanhouder,1,2.53,1.3,15,0,15,1,18,1,10.44444444,2.548868774
aanhouding,1,3,1.25,15,0,15,2,20,0.95,10.73684211,2.400048732
aanjagen,3,2.14,1.17,14,1,15,3,18,0.888888889,9.625,1.927865832
aankaarten,4,2.13,0.92,15,0,15,4,18,1,11.5,2.59524452
aankijken,2,3.33,1.05,15,0,15,1,18,1,7.055555556,2.732639797
aanklacht,3,2.27,1.1,15,0,15,2,20,1,11.2,2.64773985
aanklagen,4,2.27,0.96,15,0,15,3,18,1,11.33333333,2.589571847
aanklager,3,2.73,1.39,15,0,15,4,18,1,11.83333333,2.74933147
aanklampen,1,3.47,0.99,15,0,15,1,18,1,10.22222222,3.040037839
aankleden,3,3.53,0.99,15,0,15,2,20,1,5.7,3.404331606
aanklikken,1,4,1,15,0,15,3,18,1,9.444444444,2.548868774
aankloppen,4,3.73,1.22,15,0,15,4,18,1,8.055555556,3.555810857
aanknopen,5,2.6,0.83,15,0,15,1,18,1,9.222222222,2.691064857
aankoeken,5,3.27,1.16,15,0,15,2,20,1,10.25,3.126710058
aankomen,3,2.73,1.03,15,0,15,3,18,1,8.5,2.526331914
aankomend,4,2,1.2,15,0,15,4,18,1,9.666666667,3.788527574
aankomst,4,3.07,1.03,15,0,15,1,18,1,7.944444444,2.554631831
aankondigen,5,3,1.41,15,0,15,2,20,1,8.7,2.556724879
aankondiging,2,2.2,0.68,15,0,15,3,18,1,9,2.300894967
aankoop,2,3,1.31,15,0,15,4,18,1,8.888888889,2.609685329
aankopen,3,2.73,1.1,15,0,15,1,18,1,8.833333333,3.0341197
aankruisen,2,3.93,0.59,15,0,15,2,20,1,7.85,3.199917762
aankunnen,4,2.13,0.83,15,0,15,3,18,1,9.166666667,2.640187159
aanleg,4,1.8,0.86,15,0,15,4,18,0.944444444,9.882352941,2.955553098
aanleggen,5,2.87,1.36,15,0,15,1,18,1,10.55555556,4.259552893
aanleiding,4,1.87,0.83,15,0,15,2,20,1,9.6,2.817240158
aanlengen,4,2.73,1.1,15,0,15,3,18,1,10.61111111,2.831314159
aanleren,2,2.33,1.18,15,0,15,4,18,0.944444444,7.823529412,3.1471275419999998
aanleunen,1,3.33,1.18,15,0,15,1,18,0.944444444,9.529411765,2.917996896
aanloggen,5,2.5,1.51,14,1,15,2,20,0.6,13.25,3.768891807
aanlokkelijk,2,1.73,0.96,15,0,15,3,18,1,10.27777778,2.16402554
aanloop,4,2.87,1.13,15,0,15,4,18,1,7.277777778,2.492472327
aanlopen,3,3.13,1.06,15,0,15,1,18,1,8.166666667,2.770644436
aanmaak,4,2.62,0.96,13,2,15,1,18,1,9.5,2.662373996
aanmaken,1,3.13,1.41,15,0,15,2,20,1,8.35,2.560324815
aanmanen,4,2.64,1.28,14,1,15,3,18,1,12,2.807552839
aanmaning,4,2.43,0.85,14,1,15,4,18,1,12.05555556,2.796473035
aanmatigen,1,2.17,1.19,12,3,15,1,18,0.833333333,11.13333333,2.695675549
aanmatigend,2,2,0.85,12,3,15,2,20,0.65,13.15384615,3.436232284
aanmelden,5,2.67,1.05,15,0,15,3,18,1,10.83333333,2.065116433
aanmelding,2,2.4,1.06,15,0,15,4,18,0.944444444,10.70588235,2.616407506
aanmeren,4,3.5,1.29,14,1,15,1,18,1,10.05555556,2.412521801
aanmerkelijk,2,1.5,0.52,14,1,15,2,20,0.85,11.29411765,2.543735095
aanmerken,1,2.47,1.06,15,0,15,3,18,1,10.22222222,2.414552828
aanmerking,2,1.43,0.51,14,1,15,4,18,1,11.11111111,3.084856539
aanmodderen,1,2.27,1.28,15,0,15,1,18,0.944444444,10.58823529,2.55095138
aanmoedigen,4,2.87,1.06,15,0,15,2,20,1,8.45,2.910507281
aanmoedigend,1,2.6,1.06,15,0,15,3,18,1,9.666666667,2.300894967
aanmoediging,1,2.67,1.29,15,0,15,4,18,1,9.777777778,2.755861252
aanmonsteren,3,1.67,0.98,12,3,15,1,18,0.611111111,12.18181818,2.96034396
aannaaien,1,3.36,1.22,14,1,15,2,20,0.95,8.736842105,2.535133248
aanname,2,1.67,0.9,15,0,15,3,18,1,11.27777778,2.739805823
aannemelijk,5,1.27,0.59,15,0,15,4,18,1,11.66666667,2.566755792
aannemen,2,2.13,0.99,15,0,15,1,18,1,8.944444444,3.076901081
aannemer,1,3.07,1.28,15,0,15,2,20,1,11.8,2.397366977
aanpak,1,2.33,1.35,15,0,15,3,18,1,9.555555556,2.006525303
aanpakken,3,2.47,1.36,15,0,15,4,18,1,9.333333333,2.765331594
aanpalend,4,2.69,1.03,13,2,15,1,18,0.888888889,11.125,3.095695937
aanpappen,1,2.53,1.13,15,0,15,2,20,0.95,11,3.055050463
aanpassen,2,2.33,0.98,15,0,15,3,18,1,8.5,2.093407018
aanpassing,1,2.33,1.11,15,0,15,4,18,1,10.22222222,2.669116522
aanplakbiljet,2,3.93,1.28,15,0,15,1,18,1,11.22222222,3.001089127
aanplant,4,3.25,1.14,12,3,15,2,20,0.75,10.93333333,3.411465263
aanplanten,2,3.07,1.1,15,0,15,3,18,1,9.833333333,2.255711705
aanporren,5,3.53,1.19,15,0,15,4,18,1,10.66666667,2.84914848
aanpoten,5,2.58,1.31,12,3,15,1,18,0.833333333,11.13333333,2.924445409
aanpraten,4,2,0.65,15,0,15,2,20,1,10.2,2.839570019
aanprijzen,3,2.33,1.18,15,0,15,3,18,1,10.5,2.382534488
aanraden,1,2.33,1.18,15,0,15,4,18,1,10.05555556,2.460803843
aanrader,4,2.27,1.03,15,0,15,1,18,1,9.5,3.014670014
aanraken,3,3.73,1.22,15,0,15,2,20,1,6.6,3.454973532
aanraking,2,4,0.76,15,0,15,3,18,1,8.333333333,2.275185836
aanranden,4,3.27,1.16,15,0,15,4,18,1,11.5,2.833621669
aanrander,3,3.07,1.22,15,0,15,1,18,1,12,2.990180006
aanranding,3,2.53,1.19,15,0,15,2,20,1,12,2.102629932
aanrecht,5,4.4,0.83,15,0,15,3,18,1,7.888888889,2.446819998
aanreiken,5,3.47,1.19,15,0,15,4,18,1,9.166666667,2.74933147
aanrekenen,1,2.33,1.18,15,0,15,1,18,1,9.277777778,1.934381055
aanrennen,2,2.87,1.25,15,0,15,2,20,0.85,8.294117647,2.365499574
aanrichten,3,2.33,1.05,15,0,15,3,18,1,9.555555556,2.120549935
aanrijden,4,3.43,1.09,14,1,15,4,18,1,9.277777778,2.420635686
aanrijding,4,4.07,0.96,15,0,15,1,18,1,8.444444444,2.571843519
aanroepen,3,2.57,1.22,14,1,15,2,20,0.95,10.05263158,2.460209662
aanroeren,5,2.64,1.28,14,1,15,3,18,0.888888889,10.875,2.362907813
aanrommelen,3,2.21,1.05,14,1,15,4,18,0.888888889,11.125,3.518996069
aanrukken,1,2.67,1.23,15,0,15,1,18,0.888888889,10.1875,2.315707235
aanschaf,3,2.07,1.07,14,1,15,2,20,1,10.15,2.621269279
aanschaffen,2,2.27,0.96,15,0,15,3,18,1,9.777777778,2.510110275
aanscherpen,5,3.33,1.05,15,0,15,4,18,0.944444444,10.76470588,2.65822807
aanschieten,3,2.43,1.16,14,1,15,1,18,1,10.55555556,3.275977128
aanschijn,2,1.6,0.91,15,0,15,2,20,0.9,11.5,2.684377461
aanschouwen,2,2.53,1.19,15,0,15,3,18,1,10.88888889,2.323508728
aanschrijven,5,2.92,1.24,12,3,15,4,18,1,12.05555556,3.438060709
aanschuiven,3,3.27,1.28,15,0,15,1,18,1,7.333333333,2.057983022
aansjouwen,1,3.08,1.19,13,2,15,2,20,0.8,11.3125,2.600480725
aanslaan,3,2.2,1.08,15,0,15,3,18,1,9.388888889,2.703785775
aanslag,4,3,0.96,14,1,15,NA,NA,NA,NA,NA
aanslepen,2,1.93,0.7,15,0,15,4,18,1,10.66666667,2.656844657
aanslibben,5,3.07,1.22,15,0,15,1,18,0.888888889,10.6875,2.495829855
aansluiten,4,2.73,1.22,15,0,15,2,20,1,7.95,2.394621166
aansluiting,2,2.73,1.16,15,0,15,3,18,1,10.11111111,2.741594403
aansmeren,2,2.33,0.82,15,0,15,4,18,1,10.66666667,3.067859955
aansnijden,1,3.67,0.9,15,0,15,1,18,1,10.05555556,3.351421511
aanspannen,2,2.93,1.28,15,0,15,2,20,1,8.25,2.712058841
aanspoelen,4,3.13,1.19,15,0,15,3,18,1,8.777777778,1.80050828
aansporen,4,2.67,1.23,15,0,15,4,18,1,10.05555556,3.244401916
aansporing,5,2.07,0.8,15,0,15,1,18,1,11.05555556,2.919956128
aanspraak,3,1.73,0.7,15,0,15,2,20,0.95,11.15789474,2.38660982
aansprakelijk,2,1.6,0.63,15,0,15,3,18,1,12.66666667,2.807552839
aanspreken,1,3.47,1.13,15,0,15,4,18,0.944444444,8.058823529,2.276801162
aanstaan,1,2.2,1.32,15,0,15,1,18,1,8.888888889,2.541164367
aanstaand,5,1.4,0.83,15,0,15,2,20,1,10.7,2.556724879
aanstaande,3,2.13,1.3,15,0,15,3,18,1,10.33333333,2.807552839
aanstaren,1,3.87,0.92,15,0,15,4,18,1,8.555555556,2.548868774
aanstekelijk,1,2.07,0.8,15,0,15,1,18,1,9.888888889,2.805223885
aansteken,1,3.8,1.15,15,0,15,2,20,1,7.15,2.680828623
aansteker,1,4.73,0.46,15,0,15,3,18,1,8,1.84709629
aanstellen,4,2.33,0.98,15,0,15,4,18,1,10.16666667,3.203857969
aansteller,3,2.13,1.19,15,0,15,1,18,1,9.166666667,2.479326284
aanstellerig,5,1.67,0.82,15,0,15,2,20,1,9.5,2.56494588
aanstellerij,5,2,0.85,15,0,15,2,20,0.95,9.157894737,3.789798557
aanstelling,4,1.93,0.88,15,0,15,3,18,1,11.05555556,2.531500885
aansterken,2,2.13,0.83,15,0,15,4,18,1,10.44444444,2.727252921
aanstichten,5,2.08,1.04,13,2,15,1,18,0.777777778,10.64285714,2.790289284
aanstichter,2,2.36,1.22,14,1,15,2,20,0.9,10.88888889,2.784175639
aanstippen,3,3.47,1.3,15,0,15,3,18,1,8.333333333,2.300894967
aanstoken,1,2.87,1.3,15,0,15,4,18,1,10.61111111,3.127466347
aanstoker,1,2.86,1.1,14,1,15,1,18,0.944444444,10.11764706,2.666513476
aanstonds,1,1.54,0.97,13,2,15,2,20,0.75,12.4,1.843908891
aanstoot,2,1.87,0.74,15,0,15,NA,NA,NA,NA,NA
aanstootgevend,3,2,1.13,15,0,15,3,18,1,12.11111111,1.967048816
aanstormen,3,3.2,1.08,15,0,15,4,18,1,9.444444444,2.812204959
aanstotelijk,4,1.73,0.59,15,0,15,NA,NA,NA,NA,NA
aanstoten,2,3,1.18,14,1,15,1,18,1,10.66666667,2.612188625
aanstranden,5,3.07,1.21,14,1,15,2,20,0.85,10.70588235,2.640187159
aanstrepen,3,3.53,1.3,15,0,15,3,18,1,9.333333333,3.253956867
aansturen,1,2.47,0.99,15,0,15,4,18,1,10.77777778,2.263665834
aantal,1,1.47,0.52,15,0,15,1,18,1,6.888888889,2.348688968
aantasten,2,2.47,0.83,15,0,15,2,20,1,9.6,2.583347482
aantekenen,3,2.67,1.29,15,0,15,3,18,0.944444444,11.29411765,1.992633492
aantekening,4,3.53,1.06,15,0,15,4,18,1,11.44444444,2.874271718
aantijgen,2,1.85,1.14,13,2,15,1,18,0.833333333,11.6,3.501020259
aantijging,1,2.27,1.49,11,4,15,2,20,0.85,13.05882353,3.009787954
aantikken,5,3.6,1.35,15,0,15,3,18,1,7.277777778,2.371536002
aantocht,4,2.71,1.38,14,1,15,4,18,1,9.611111111,2.87256575
aantonen,5,2.4,1.06,15,0,15,1,18,1,9.222222222,2.53343653
aantreden,1,2.67,1.18,15,0,15,2,20,0.95,10.84210526,2.167004022
aantreffen,2,2.13,1.13,15,0,15,3,18,1,10.38888889,2.329829302
aantrekkelijk,4,2.47,0.92,15,0,15,NA,NA,NA,NA,NA
aantrekken,2,2.47,1.19,15,0,15,4,18,1,8.166666667,3.568654385
aantrekking,1,1.93,1.03,15,0,15,1,18,1,10.44444444,2.617188033
aanvaardbaar,4,1.93,0.8,15,0,15,2,20,1,9.1,2.023545612
aanvaarden,2,2.2,0.86,15,0,15,3,18,1,8.5,2.617812288
aanvaarding,3,1.87,1.13,15,0,15,4,18,1,10.72222222,2.92666354
aanval,3,3.13,1.41,15,0,15,NA,NA,NA,NA,NA
aanvallen,3,3.4,1.18,15,0,15,NA,NA,NA,NA,NA
aanvallend,1,2.67,1.23,15,0,15,NA,NA,NA,NA,NA
aanvaller,2,3.27,1.22,15,0,15,1,18,1,8.666666667,2.275185836
aanvallig,1,2.31,1.38,13,2,15,3,18,0.777777778,11.07142857,2.947340019
aanvalsteam,2,2.8,0.94,15,0,15,2,20,0.85,10.23529412,2.704843151
aanvang,5,1.93,1.16,15,0,15,3,18,1,9.611111111,1.786843714
aanvangen,4,1.93,0.96,15,0,15,4,18,1,9.555555556,2.853732792
aanvankelijk,1,1.47,0.83,15,0,15,1,18,1,10.44444444,2.525685049
aanvaring,3,2.47,1.3,15,0,15,2,20,1,12.05,2.62528194
aanvatten,2,2.4,1.06,15,0,15,3,18,1,10,2.142016642
aanvechtbaar,2,1.73,0.7,15,0,15,4,18,1,12.22222222,3.097542775
aanvechten,3,2.27,1.1,15,0,15,1,18,1,11,3.253956867
aanvechting,2,1.93,1,14,1,15,2,20,0.95,11.89473684,2.447101161
aanvegen,1,2.62,1.45,13,2,15,3,18,0.888888889,10.375,2.801785145
aanverwant,1,2.2,1.15,15,0,15,4,18,1,12.11111111,2.805223885
aanvinken,2,3.73,1.1,15,0,15,1,18,1,9.777777778,2.9416993
aanvliegen,5,2.93,1.21,14,1,15,2,20,0.95,10.05263158,3.153017676
aanvoelen,4,2.13,1.06,15,0,15,3,18,1,8.611111111,2.033220826
aanvoer,5,2.6,1.12,15,0,15,4,18,0.944444444,10.82352941,3.127205104
aanvoerder,2,2.8,1.15,15,0,15,1,18,1,9.666666667,2.990180006
aanvoeren,1,2.4,1.12,15,0,15,2,20,1,9.95,2.66507628
aanvoerster,1,3.33,0.98,15,0,15,3,18,1,11,2.70076242
aanvraag,4,2.67,1.23,15,0,15,4,18,1,11.5,2.935582916
aanvragen,5,2.47,1.41,15,0,15,1,18,1,8.444444444,1.947010445
aanvrager,3,2.67,1.11,15,0,15,2,20,0.95,10.36842105,2.691767827
aanvreten,3,2.93,1,14,1,15,3,18,1,11.27777778,2.295918516
aanvullen,4,3.2,1.32,15,0,15,4,18,1,8.666666667,2.678893538
aanvullend,3,1.93,1.03,15,0,15,4,18,1,10.44444444,2.748737084
aanvulling,2,2.67,0.98,15,0,15,1,18,1,9.166666667,2.572478777
aanvuren,5,3.07,1.21,14,1,15,2,20,1,10.35,2.084403234
aanwaaien,3,2.33,1.05,15,0,15,3,18,1,9.611111111,2.452822837
aanwakkeren,2,2.53,0.99,15,0,15,4,18,1,11.05555556,2.940032457
aanwas,4,2.5,1.41,8,7,15,1,18,0.5,10.77777778,2.682246157
aanwenden,1,1.93,1.1,15,0,15,2,20,1,11.6,2.817240158
aanwensel,1,1.92,0.9,12,3,15,3,18,0.722222222,13,3.240370349
aanwerven,5,2.8,1.15,15,0,15,4,18,1,12.33333333,3.271984467
aanwezig,4,2.33,1.11,15,0,15,1,18,1,7.444444444,2.280924019
aanwezige,2,2.67,1.11,15,0,15,2,20,1,7.75,2.268201235
aanwezigheid,1,2.6,1.35,15,0,15,3,18,1,8.277777778,2.444815777
aanwijzen,2,3.73,1.03,15,0,15,4,18,0.944444444,7.235294118,2.727851988
aanwijzing,1,2.6,1.12,15,0,15,1,18,1,8.888888889,1.875190622
aanwinst,4,2.4,0.83,15,0,15,NA,NA,NA,NA,NA
aanwrijven,2,2.67,1.23,15,0,15,2,20,0.95,9.421052632,3.671448238
aanzegger,5,1.78,0.83,9,6,15,3,18,0.555555556,12,2.309401077
aanzet,4,2,0.76,15,0,15,4,18,1,10.66666667,2.449489743
aanzetten,4,3,1.18,14,1,15,1,18,1,8.111111111,2.741594403
aanzicht,3,2.6,1.18,15,0,15,2,20,1,9.35,2.390221307
aanzien,2,1.8,0.86,15,0,15,NA,NA,NA,NA,NA
aanzienlijk,5,1.2,0.56,15,0,15,NA,NA,NA,NA,NA
aanzitten,1,3.2,0.86,15,0,15,3,18,1,10.05555556,2.436782407
aanzoek,5,2.6,1.45,15,0,15,4,18,1,10.38888889,2.831314159
aanzuiveren,5,2,0.78,14,1,15,1,18,0.944444444,11.64705882,3.408466966
aanzwengelen,1,3.14,1.29,14,1,15,2,20,0.95,11.63157895,3.353448081
aap,3,4.73,0.59,15,0,15,NA,NA,NA,NA,NA
aapmens,5,4.27,0.59,15,0,15,3,18,0.944444444,8.529411765,1.841115391
aar,5,3.63,1.51,8,7,15,1,18,0.555555556,11.4,2.503331114
aard,2,1.33,0.49,15,0,15,NA,NA,NA,NA,NA
aardappel,3,4.93,0.26,15,0,15,4,18,1,5.833333333,2.662373996
aardappelen,3,4.93,0.26,15,0,15,1,18,1,5.666666667,2.275185836
aardappelpuree,5,4.8,0.56,15,0,15,2,20,1,6.6,3.485307507
aardbei,1,5,0,15,0,15,NA,NA,NA,NA,NA
aardbeien,1,4.93,0.26,15,0,15,3,18,1,6.055555556,1.893400993
aardbeving,5,4.29,0.99,14,1,15,NA,NA,NA,NA,NA
aardbewoner,4,3.6,1.06,15,0,15,4,18,1,9.611111111,2.892970972
aardbodem,3,3.53,1.06,15,0,15,1,18,1,9.055555556,2.622800977
aardbol,4,4.33,0.62,15,0,15,2,20,1,7.7,3.197038103
aarde,3,3.67,1.29,15,0,15,NA,NA,NA,NA,NA
aarden,2,2.27,1.16,15,0,15,3,18,1,12.05555556,2.879383558
aardewerk,3,4.07,1.03,15,0,15,4,18,1,10.33333333,2.47338777
aardgas,2,3.8,1.15,15,0,15,1,18,1,11.05555556,2.622800977
aardig,2,2.47,1.13,15,0,15,2,20,0.95,7.315789474,3.496865765
aardigheid,4,2.33,1.05,15,0,15,3,18,1,9.333333333,2.990180006
aardigheidje,3,1.73,0.96,15,0,15,4,18,1,10.38888889,2.992911014
aarding,1,2.8,1.66,15,0,15,2,20,1,12.45,2.305028827
aardkorst,3,3.53,1.36,15,0,15,1,18,1,10.94444444,2.95997262
aardlaag,4,3.79,1.05,14,1,15,2,20,1,11.3,2.848822471
aardnoot,1,4.57,0.51,14,1,15,3,18,0.722222222,12.53846154,3.777463536
aardolie,3,3.93,1.33,15,0,15,4,18,1,10.83333333,2.332632948
aardrijk,2,2,1.35,12,3,15,1,18,0.666666667,12.25,3.695820736
aardrijkskunde,4,2.36,1.15,14,1,15,2,20,1,9.85,3.048295468
aards,3,2.07,1.1,15,0,15,3,18,1,9.5,1.855040827
aardschok,4,4.13,0.64,15,0,15,4,18,1,11.11111111,2.968241486
aardstralen,3,2,1.04,14,1,15,1,18,1,12.44444444,2.406418433
aardvarken,3,4.67,0.72,15,0,15,2,20,0.95,11.21052632,3.309564378
aars,1,4.8,0.41,15,0,15,NA,NA,NA,NA,NA
aartsengel,5,1.93,1.33,14,1,15,3,18,0.833333333,9.466666667,2.587515815
aartsrivaal,2,2.27,1.28,15,0,15,4,18,1,10.94444444,2.979779349
