cues,AFSS,BOI,Concrete,n_previous,needs_norming
cuff,29,5.333333333,4.61,25,Yes
cuisine,36,4.652173913,3.7,35,No
cup,33,6.043478261,5,27,Yes
cupboard,19,5.782608696,4.79,27,Yes
curb,39,4.72,4.68,33,No
curd,27,4.875,4.19,28,Yes
curler,17,4.454545455,4.13,31,No
curry,21,4.565217391,4.84,26,Yes
curtain,43,5.875,4.82,35,No
cushion,35,5.75,4.68,34,No
custard,30,4.956521739,4.85,29,Yes
custodian,32,4.481481481,4.64,26,Yes
customer,40,5.541666667,3.82,27,Yes
cuticle,28,5.08,4.94,33,No
cutlery,36,5.913043478,4.75,28,Yes
cutlet,27,5.272727273,4.52,28,Yes
cuttlefish,27,4.454545455,4.23,28,Yes
cymbal,37,5.958333333,4.92,31,No
cymbals,41,5.695652174,4.88,28,Yes
dachshund,33,5.125,4.67,27,Yes
dad,35,5.416666667,4.29,55,No
daffodil,32,5.045454545,4.96,26,Yes
dagger,40,5.923076923,4.96,58,No
daiquiri,29,5.454545455,4.62,34,No
dairy,29,4.28,4.45,36,No
daisy,42,5,5,34,No
damsel,20,4.652173913,3.88,31,No
dance,44,4.44,4.32,37,No
dancer,34,5.090909091,4.75,32,No
dandelion,41,5.826086957,5,26,Yes
dandruff,26,4.72,4.79,34,No
darkroom,24,4.416666667,4.45,32,No
dart,43,5.291666667,4.9,37,No
dartboard,34,5.608695652,4.75,32,No
daughter,41,5.192307692,4.79,39,No
daybed,23,5.28,4.41,27,Yes
debris,45,4.75,4.69,32,No
deck,47,5.541666667,4.77,27,Yes
decor,42,4.538461538,3.77,33,No
deer,23,4.416666667,4.86,25,Yes
deerskin,39,4.826086957,4.9,37,No
defendant,25,4.291666667,3.8,31,No
delicatessen,25,4.347826087,4.28,28,Yes
deliverer,31,4.52173913,3.72,31,No
deliveryman,24,4.44,4.23,27,Yes
democrat,19,4.416666667,3.96,28,Yes
den,31,4.333333333,4.57,24,Yes
denim,33,5.416666667,4.77,63,No
dentist,38,5.038461538,4.93,34,No
deodorant,23,6.36,5,25,Yes
dermatologist,37,4.92,4.21,29,Yes
derriere,42,5.5,4.65,28,Yes
desert,29,4.291666667,4.86,34,No
desk,34,6.260869565,4.87,27,Yes
dessert,44,5.695652174,4.93,36,No
detergent,18,5.227272727,4.77,32,No
detonator,28,4.68,4.76,25,Yes
device,74,5.75,3.97,36,No
diagram,35,4.5,4.36,27,Yes
diamond,31,5.304347826,4.89,26,Yes
diaper,31,5.64,4.82,30,No
diaphragm,24,4.269230769,3.93,27,Yes
dice,26,6.192307692,4.86,30,No
dictionary,35,6.04,4.62,28,Yes
dietician,45,4.72,4.14,34,No
dildo,45,6.52173913,4.7,32,No
dime,35,6.083333333,4.85,35,No
diner,31,4.375,4.82,35,No
dinner,44,5.545454545,4.5,31,No
dinnerware,32,5.916666667,4.79,29,Yes
dip,21,4.535714286,4.22,28,Yes
diploma,34,5.96,4.93,31,No
dipper,34,4.909090909,4.21,27,Yes
dipstick,15,5.185185185,3.81,30,No
dirt,47,5.08,4.86,37,No
dish,32,5.8,4.9,28,Yes
dishwasher,29,5.592592593,4.86,29,Yes
dishwater,29,5.2,4.61,25,Yes
dispenser,22,4.708333333,3.84,28,Yes
dividers,23,4.384615385,4.29,25,Yes
divorcee,35,4.5,3.8,33,No
dock,51,4.541666667,4.64,37,No
doctor,52,5.68,4.69,30,No
document,41,4.818181818,4.41,29,Yes
dog,37,6.4,4.85,31,No
dogcatcher,26,4.72,4.35,36,No
doghouse,29,5.076923077,4.79,32,No
doll,48,6.434782609,5,33,No
dollar,35,6.24,4.93,36,No
dollhouse,40,5.826086957,4.86,27,Yes
dolphin,27,4.52,4.96,27,Yes
dominoes,26,5.703703704,4.66,49,No
donkey,40,4.826086957,5,26,Yes
donut,43,NA,4.93,37,No
door,40,6.217391304,4.81,29,Yes
doorbell,31,5.916666667,4.82,35,No
doorframe,34,5.086956522,4.79,27,Yes
doorknob,23,6.518518519,4.97,26,Yes
doorknocker,38,5.52173913,4.7,33,No
doorman,21,4.68,4.79,27,Yes
doornail,30,5.4,4.9,26,Yes
doorstep,40,5.333333333,5,32,No
doorstop,23,5.260869565,4.82,27,Yes
dorm,38,4.32,4.41,29,Yes
dormitory,27,4.821428571,4.64,28,Yes
douche,24,4.652173913,4.13,28,Yes
dough,27,6.086956522,4.79,30,No
doughnut,33,6.260869565,4.96,27,Yes
dove,28,4.333333333,4.88,27,Yes
drain,32,4.291666667,4.61,34,No
drainpipe,37,4.875,4.86,37,No
drapery,29,4.68,4.32,25,Yes
drawers,39,5.869565217,4.96,35,No
drawing,44,4.695652174,4.6,32,No
drawstring,22,5.28,4.74,25,Yes
dress,37,6.16,4.93,25,Yes
dresser,28,5.04,4.96,25,Yes
dressing,33,5.08,4.03,38,No
dressmaker,28,4.875,4.64,27,Yes
driftwood,37,5.416666667,4.88,29,Yes
drill,32,5.739130435,4.4,26,Yes
drink,38,6.074074074,4.76,25,Yes
driver,20,4.565217391,4.71,28,Yes
drone,46,4.291666667,3.93,26,Yes
drug,44,5.375,4.48,31,No
drugstore,25,5.260869565,4.82,31,No
drum,33,5.8,4.96,27,Yes
drumstick,32,5.708333333,4.96,31,No
dryer,30,5.56,4.79,30,No
drywall,40,5.208333333,4.7,34,No
duck,37,5.041666667,4.86,30,No
duckling,29,5.125,4.93,27,Yes
duckweed,32,4.4,4.29,26,Yes
ductwork,25,4.52173913,4.81,26,Yes
dude,49,5,3.93,37,No
duffel,29,4.380952381,4.12,28,Yes
dumbbell,34,5.958333333,4.69,34,No
dumbwaiter,30,4.44,4.55,26,Yes
dumpling,29,4.826086957,4.65,25,Yes
dust,14,4.827586207,4.4,29,Yes
dustbin,36,5.708333333,4.54,29,Yes
duster,17,5.32,4.64,27,Yes
dwarf,25,4.333333333,4.45,28,Yes
dwelling,32,4.857142857,4.14,28,Yes
dye,28,4.52173913,4.58,33,No
dynamite,35,5.260869565,4.68,33,No
ear,27,6.652173913,5,30,No
earmuff,22,6.260869565,4.85,26,Yes
earphone,37,5.52173913,4.74,33,No
earpiece,31,5.76,4.79,39,No
earplug,30,6.111111111,4.82,33,No
earplugs,36,6.541666667,4.9,29,Yes
earring,43,6.428571429,4.96,30,No
earth,37,5.555555556,4.8,30,No
earthworm,34,4.916666667,4.89,25,Yes
earwax,26,5.041666667,4.87,30,No
easel,29,4.72,4.97,31,No
eclair,23,6.166666667,4.75,27,Yes
ecologist,21,4.458333333,3.68,27,Yes
edibles,37,5.428571429,3.86,35,No
editor,28,4.5,4.25,28,Yes
educator,49,5,4,26,Yes
eel,37,4.653846154,4.69,32,No
egg,36,6.068965517,4.97,30,No
eggbeater,27,5.96,4.89,33,No
eggplant,31,5.807692308,4.97,28,Yes
eggshell,27,5.791666667,4.77,35,No
elbow,39,6.458333333,5,31,No
electrician,31,4.625,4.21,25,Yes
electrocardiogram,26,4.347826087,4.16,33,No
electronics,54,5.12,4.37,35,No
elephant,46,4.36,5,43,No
elevator,19,5.486522911,4.79,27,Yes
employee,36,5.045454545,4.1,26,Yes
employer,34,5.291666667,3.81,26,Yes
enamel,24,4.652173913,4.21,29,Yes
encyclopedia,31,6.16,4.79,38,No
enemy,29,4.375,2.83,29,Yes
engine,39,5.333333333,4.86,33,No
engineer,28,5.379310345,4.64,28,Yes
entertainer,29,4.964285714,4.17,27,Yes
entomologist,23,4.583333333,3.88,26,Yes
entree,23,5.28,4.28,30,No
envelope,44,5.64,4.93,37,No
environment,52,4.52173913,3.74,38,No
environmentalist,39,4.482758621,3.72,27,Yes
epidermis,50,5.636363636,4.69,37,No
equipment,51,5.28,4.83,28,Yes
eraser,36,5.791666667,4.74,36,No
erection,33,5.4,4.22,31,No
escalator,16,5.52,5,28,Yes
espresso,31,5.24,4.41,29,Yes
essay,43,4.333333333,3.97,27,Yes
evergreen,33,4.444444444,4,31,No
examiner,38,4.565217391,3.57,26,Yes
excavator,32,4.409090909,4.07,26,Yes
executioner,20,4.44,4.17,27,Yes
extinguisher,37,5.043478261,4.7,37,No
eye,39,5.72,4.9,31,No
eyeball,27,5.555555556,4.92,29,Yes
eyebath,17,4.368421053,3.79,30,No
eyedrop,29,5.48,4.81,34,No
eyeglass,26,5.958333333,4.7,24,Yes
eyeglasses,23,6.28,4.92,29,Yes
eyelash,35,5.423076923,5,35,No
eyelid,28,5.52173913,5,33,No
eyepiece,31,5.8,4.74,33,No
eyewash,23,5.4,4.7,27,Yes
fabric,40,6.08,4.63,33,No
face,49,5.857142857,4.87,27,Yes
factory,29,4.44,4.76,35,No
fairground,43,4.608695652,4.7,33,No
family,44,5.291666667,4.23,36,No
fan,38,5.72,4.71,35,No
farm,39,5.035714286,4.59,30,No
farmer,33,5.08,4.54,26,Yes
farmhand,37,4.4,4.52,34,No
farmhouse,37,5.068965517,4.74,25,Yes
fastener,31,4.347826087,4.1,28,Yes
father,61,6.035714286,4.52,38,No
faucet,19,5.869565217,4.48,28,Yes
fauna,48,5,3.96,35,No
fawn,37,4.535714286,4.3,26,Yes
feast,37,4.384615385,4.3,32,No
feather,38,5.260869565,4.9,27,Yes
featherbed,24,5.434782609,4.69,27,Yes
fedora,32,6.291666667,4.5,37,No
feline,34,5.458333333,4.38,27,Yes
female,33,5.689655172,4.57,29,Yes
femur,23,4.5,4.88,29,Yes
fence,44,5.62962963,4.82,41,No
fern,52,5.005471956,5,32,No
ferret,28,5,4.97,29,Yes
ferryboat,27,5.083333333,4.77,25,Yes
fertilizer,33,5.217391304,4.76,28,Yes
festival,45,4.5,4.33,30,No
fiancee,34,5.652173913,3.86,27,Yes
fiddle,39,6.043478261,4.81,35,No
fig,28,5.083333333,4.97,27,Yes
figurine,42,5.791666667,4.86,33,No
file,28,5.041666667,4.41,25,Yes
fillet,23,4.32,4.75,29,Yes
film,37,4.32,4.71,34,No
finger,54,6,5,34,No
fingerboard,21,5.15,4.35,27,Yes
fingernail,31,5.88,4.93,27,Yes
fingerprint,44,4.291666667,4.96,35,No
fingertip,39,5.928571429,4.93,26,Yes
fir,39,4.272727273,4.58,29,Yes
firearm,42,5.814814815,4.64,32,No
firecracker,34,4.916666667,4.68,26,Yes
fireplace,29,5.458333333,4.68,31,No
firewood,42,5.72,4.93,31,No
firstborn,57,4.518518519,4.04,35,No
fish,45,5.592592593,5,30,No
fishbone,33,5.173913043,4.57,30,No
fisherman,50,4.851851852,4.73,34,No
fishpond,30,4.791666667,4.71,30,No
fist,32,6.08,4.93,24,Yes
fixture,29,5,4.17,30,No
flag,32,5.851851852,4.79,29,Yes
flagpole,36,4.785714286,4.86,37,No
flamethrower,32,4.740740741,4.57,25,Yes
flannel,32,4.869565217,4.43,57,No
flapjack,38,5.2,4.89,30,No
flashbulb,29,4.375,4.75,31,No
flashlight,44,5.869565217,5,38,No
flask,29,5.416666667,4.79,33,No
flatiron,35,5.590909091,4.24,34,No
flaxseed,27,5.037037037,4.46,27,Yes
fleece,28,4.5,4.75,33,No
flesh,43,4.782608696,4.59,33,No
floor,42,5.666666667,4.8,29,Yes
floorboard,51,5.791666667,4.89,35,No
flooring,38,4.565217391,4.43,32,No
florist,38,4.444444444,4.62,26,Yes
floss,27,5.166666667,4.41,26,Yes
flounder,28,4.52173913,3.92,29,Yes
flour,27,5.875,4.97,28,Yes
flower,65,5.916666667,5,39,No
flowerbed,46,5.041666667,4.71,34,No
flowerpot,34,5,4.81,37,No
fluid,60,4.923076923,4.73,38,No
flute,32,5.75,5,36,No
flycatcher,14,5.375,4.61,25,Yes
flypaper,24,5.037037037,4.77,25,Yes
flyswatter,31,5.703703704,5,27,Yes
foghorn,31,4.583333333,4.96,35,No
folder,43,6.260869565,4.93,35,No
foliage,42,4.6,4.67,29,Yes
fondue,27,4.92,4.79,36,No
food,45,6.470350404,4.8,35,No
foodstuff,33,4.846153846,4,26,Yes
foot,36,6,4.9,25,Yes
football,33,6.12,4.73,27,Yes
footballer,42,5.041666667,4.52,32,No
footbath,23,5.090909091,4.46,33,No
footboard,25,5.086956522,4.77,27,Yes
footbridge,41,4.777777778,4.81,28,Yes
footpad,36,5.041666667,4.37,28,Yes
footpath,24,4.592592593,4.79,26,Yes
footplate,27,4.875,4.58,32,No
footstool,29,6.304347826,4.96,37,No
footwear,38,6.434782609,4.66,26,Yes
forceps,34,4.869565217,4.79,32,No
ford,16,4.416666667,4.19,26,Yes
forearm,39,5.782608696,4.69,27,Yes
forefinger,36,5.16,4.64,27,Yes
forehead,38,5.777777778,4.9,32,No
forest,45,4.6,4.76,24,Yes
fork,32,5.6,4.9,27,Yes
forklift,45,5.541666667,4.79,40,No
fossil,49,4.925925926,4.9,38,No
fountain,36,5.208333333,4.77,36,No
fountainhead,31,4.523809524,3.87,30,No
foxhound,33,4.347826087,4.48,34,No
frame,27,4.956521739,4.3,28,Yes
frankfurter,31,5.708333333,4.88,25,Yes
freezer,17,5.260869565,4.87,25,Yes
fridge,31,6.166666667,4.92,37,No
friend,40,5,3.07,28,Yes
frog,35,5.125,5,28,Yes
frosting,27,5,4.86,27,Yes
fruit,41,6,4.81,30,No
fruitcake,28,6,4.62,26,Yes
fryer,22,5.541666667,4.5,28,Yes
fudge,33,5.68,4.89,25,Yes
fungus,46,4.32,4.59,33,No
funnel,26,4.833333333,4.52,34,No
furnace,27,4.68,4.69,35,No
furnishings,23,6.166666667,4.31,26,Yes
furniture,45,6.56,4.89,25,Yes
gadget,48,5.52,4.6,28,Yes
gambler,31,4.416666667,4.03,33,No
game,45,4.518518519,4.5,38,No
gangster,30,4.36,3.93,27,Yes
garage,28,4.96,4.96,31,No
garb,27,4.541666667,4.19,25,Yes
garbage,30,4.96,4.69,28,Yes
garden,47,5.913043478,4.73,36,No
gardener,47,4.958333333,4.5,36,No
garland,24,5.166666667,4.85,28,Yes
garlic,31,6.32,4.89,27,Yes
garment,44,5.826086957,4.78,26,Yes
garnets,21,4.65,4.12,26,Yes
gasket,23,4.846153846,4.44,26,Yes
gate,38,5.956521739,4.96,36,No
gatehouse,42,4.464285714,4.48,31,No
gatekeeper,20,4.44,4.21,27,Yes
gauze,41,5.88,4.62,34,No
gavel,38,4.545454545,4.88,29,Yes
gazebo,37,5.25,4.79,29,Yes
gear,37,4.695652174,4.28,38,No
gearbox,20,5.041666667,4.72,27,Yes
gem,35,5.517241379,4.88,35,No
generator,31,4.47826087,4.23,31,No
genitals,35,6.130434783,4.96,98,No
gentleman,51,4.961538462,3.57,27,Yes
geranium,25,4.695652174,4.76,28,Yes
germ,37,4.333333333,3.89,36,No
giblets,22,4.714285714,4.58,30,No
gift,45,5.380952381,4.56,36,No
gin,43,5.074074074,4.46,27,Yes
ginger,32,5.32,4.92,32,No
gingerbread,28,5.48,4.88,30,No
gingersnap,22,4.703703704,4.76,27,Yes
girdle,25,5.52173913,4.63,25,Yes
girl,33,5.52,4.85,25,Yes
girlfriend,41,5.730769231,4.25,30,No
glass,36,6.12,4.82,30,No
glassblower,25,4.52173913,4.33,33,No
glasses,26,6.541666667,4.9,24,Yes
glassware,34,5.964285714,4.59,37,No
glider,34,4.5,4.32,28,Yes
glitter,27,4.434782609,4.43,27,Yes
globe,33,5.28,4.59,27,Yes
glue,36,5.043478261,4.65,39,No
glycerine,29,4.434782609,4,27,Yes
goalkeeper,26,4.458333333,4.5,28,Yes
goalpost,32,4.84,4.96,30,No
goat,34,4.8,5,36,No
goatee,33,4.375,4.89,34,No
goatskin,21,4.44,4.8,33,No
goblet,30,5.826086957,4.65,28,Yes
goddaughter,27,5.04,3.72,27,Yes
godfather,24,5.043478261,4.14,27,Yes
godmother,36,5.19047619,3.72,30,No
godparent,39,5.260869565,4,29,Yes
goggles,32,6.125,4.93,52,No
gold,57,4.75,4.81,36,No
goldfish,30,4.739130435,4.79,34,No
goldsmith,28,4.375,4.73,34,No
golf,24,4.76,4.52,26,Yes
golfer,28,4.583333333,4.71,35,No
gondola,29,4.916666667,4.92,28,Yes
goose,25,5.260869565,4.81,27,Yes
gooseberry,26,5.041666667,4.7,30,No
goulash,36,4.846153846,4.2,28,Yes
gourd,32,5.208333333,4.86,29,Yes
gown,37,6.36,4.61,29,Yes
grandchild,46,5.24,4.26,36,No
granddaughter,43,5,4.37,29,Yes
grandfather,44,5.833333333,4.86,26,Yes
grandma,29,5.769230769,4.54,26,Yes
grandnephew,39,5.08,4.69,25,Yes
grandniece,34,4.708333333,4.54,33,No
grandpa,47,5.76,4.39,28,Yes
grandparent,56,5.56,4.03,38,No
grandson,40,5.785714286,4.3,31,No
granite,46,4.666666667,5,37,No
granny,30,5.083333333,4.24,36,No
grape,39,6.214285714,5,29,Yes
grapefruit,42,5.96,4.96,28,Yes
grapevine,29,4.869565217,4.69,31,No
graphite,23,4.590909091,4.58,28,Yes
grass,46,5.454545455,4.93,33,No
grasshopper,43,4.753721245,4.91,33,No
grater,18,4.92,4.52,28,Yes
grave,43,4.730769231,4.56,29,Yes
gravel,45,5.461538462,5,34,No
gravestone,28,4.875,4.72,26,Yes
graveyard,38,4.608695652,4.83,36,No
gravy,43,5.333333333,4.97,37,No
grease,34,4.666666667,4.61,29,Yes
greenery,38,4.375,4.34,38,No
greenhouse,33,5.260869565,4.76,26,Yes
greens,32,4.5,4.1,29,Yes
grenade,30,5.2,4.9,25,Yes
greyhound,34,4.636363636,5,28,Yes
griddle,35,5.739130435,4.38,35,No
grill,31,5.72,4.86,27,Yes
grits,25,5.291666667,4.74,31,No
groceries,34,5.962962963,4.74,50,No
groom,35,5,4.54,29,Yes
ground,34,5.875,4.77,26,Yes
groundsman,34,4.333333333,4.19,28,Yes
guard,27,5,4.04,27,Yes
guardhouse,25,4.28,4.67,25,Yes
guardrail,30,4.36,5,26,Yes
guardsman,25,4.481481481,4.64,28,Yes
guest,50,4.857142857,3.83,29,Yes
guesthouse,39,4.913043478,4.53,27,Yes
guestroom,32,4.538461538,4.44,29,Yes
guidebook,48,5.791666667,4.83,26,Yes
guillotine,32,4.52173913,4.64,27,Yes
guitar,37,6.293243243,4.9,33,No
guitarist,33,4.75,4.58,26,Yes
gum,33,6.36,4.89,34,No
gumbo,28,4.619047619,4.39,26,Yes
gumdrop,30,5.875,4.9,28,Yes
gun,34,6.12,4.83,29,Yes
gunfighter,28,4.52,4.34,28,Yes
gunnysack,20,4.666666667,4.52,25,Yes
gunpowder,27,4.96,4.79,29,Yes
guy,58,5.84,4.68,30,No
gym,39,4.958333333,4.83,24,Yes
gymnasium,30,4.464285714,4.81,29,Yes
gymnast,43,5,4.85,27,Yes
gynecologist,38,4.833333333,4.39,26,Yes
gyroscope,22,4.814814815,4.25,31,No
hailstone,36,5,4.57,36,No
hair,53,6.318181818,4.97,27,Yes
hairbrush,38,6.48,4.75,38,No
hairdo,25,5.08,4.07,27,Yes
hairdresser,26,5.384615385,4.79,27,Yes
hairline,30,4.92,4.46,28,Yes
hairnet,26,5.458333333,4.96,35,No
hairpiece,39,5.956521739,4.82,34,No
hairpin,38,6.125,4.83,30,No
hairstyle,50,4.68,3.9,34,No
hairstylist,40,5.041666667,4.79,27,Yes
hall,30,4.346153846,4.67,25,Yes
hallway,27,4.708333333,4.74,27,Yes
ham,44,5.541666667,4.9,30,No
hamburger,37,6.148148148,5,28,Yes
hammer,32,6.173913043,4.77,24,Yes
hammock,43,6.166666667,4.89,38,No
hamper,34,4.4,4.21,28,Yes
hamster,39,5.583333333,4.86,39,No
hamstring,24,5.08,4.72,29,Yes
hand,60,6.44,4.72,24,Yes
handbag,30,6,4.93,36,No
handball,28,5.75,4.48,27,Yes
handbook,41,5.782608696,4.64,26,Yes
handbrake,24,5.083333333,4.69,28,Yes
handcart,21,5.6,4.67,27,Yes
handclap,29,4.434782609,4.28,26,Yes
handclasp,42,4.681818182,4.22,37,No
handgun,34,5.761904762,5,27,Yes
handhold,26,5.045454545,3.91,25,Yes
handkerchief,30,5.72,5,36,No
handle,40,4.958333333,4.57,39,No
handlebar,27,5.384615385,4.76,29,Yes
handrail,33,5.227272727,4.72,28,Yes
handsaw,23,6.076923077,5,28,Yes
handshake,33,5.636363636,4.52,35,No
handwork,31,4.928571429,3.66,27,Yes
hanger,13,5.291666667,4.81,27,Yes
hangnail,28,5.814814815,4.71,30,No
hanky,18,4.481481481,4.76,25,Yes
hardcover,21,4.652173913,4.69,28,Yes
hardware,34,5.52,4.62,28,Yes
hardwood,30,5.076923077,4.4,27,Yes
harmonica,29,6.416666667,4.9,32,No
harness,33,4.4,4.14,28,Yes
harp,31,5.8,4.85,27,Yes
harpist,27,4.304347826,4.08,33,No
harpsichord,38,4.904761905,4.67,29,Yes
harvest,30,4.464285714,4,35,No
hat,33,6.44,4.88,28,Yes
hatband,20,5.16,4.38,25,Yes
hatchback,20,4.818181818,4.48,26,Yes
hatchet,34,5.791666667,4.93,34,No
haystack,49,4.956521739,4.87,34,No
head,44,5.48,4.75,36,No
headboard,27,5.52,4.65,26,Yes
headdress,33,5.541666667,4.71,35,No
headgear,18,5.625,4.83,26,Yes
headlight,26,4.538461538,4.97,31,No
headmistress,34,4.555555556,4.56,28,Yes
headphones,28,6.083333333,4.79,27,Yes
headpiece,32,5.347826087,4.8,29,Yes
headrest,32,5.346153846,4.8,36,No
heads,28,4.28,4.63,29,Yes
headset,33,6,4.83,26,Yes
hearse,34,4.928571429,4.85,30,No
hedgehog,26,5.043478261,4.93,26,Yes
heel,39,4.666666667,4.86,36,No
helicopter,30,5.178571429,4.62,27,Yes
helmet,32,6.111111111,4.92,30,No
hen,29,4.652173913,4.9,29,Yes
herb,33,5.826086957,4.57,30,No
herbivore,25,4.363636364,4.08,31,No
heroin,26,4.423076923,4.57,32,No
hibachi,28,4.666666667,4.14,33,No
hibiscus,33,4.952380952,4.48,27,Yes
hickory,38,4.357142857,4.34,28,Yes
hiker,28,5.260869565,4.53,27,Yes
hill,29,4.535714286,4.93,25,Yes
him,39,4.47826087,3.54,25,Yes
hinge,27,4.333333333,4.57,31,No
hip,51,5.086956522,4.21,35,No
hippie,34,4.56,4.07,27,Yes
hitchhiker,40,4.375,4.83,31,No
hoe,32,5.545454545,4.74,28,Yes
hog,38,4.407407407,4.66,32,No
holder,22,4.28,3.74,31,No
holding,29,4.428571429,3.72,26,Yes
holster,20,4.68,4.59,33,No
home,35,5.434782609,4.11,27,Yes
homemaker,34,5.285714286,4.22,28,Yes
homework,40,5.32,4.5,25,Yes
honey,40,5.434782609,4.88,35,No
honeycomb,39,4.695652174,4.72,25,Yes
honeydew,21,5.444444444,4.86,31,No
honeysuckle,38,5.375,4.48,29,Yes
hood,17,5.44,4.88,27,Yes
hook,32,5,4.79,29,Yes
hookah,23,6.25,4.83,26,Yes
hookers,43,5.08,4.63,28,Yes
hoop,28,5.296296296,4.74,30,No
horn,40,5.291666667,5,33,No
horse,50,5.88,5,28,Yes
horsefly,31,4.32,4.97,33,No
horseman,30,4.28,4.3,27,Yes
horseradish,24,5.24,4.81,26,Yes
horseshoe,33,5.2,5,36,No
horsewhip,31,4.652173913,4.37,32,No
hose,34,5.565217391,4.87,33,No
hostel,41,4.708333333,3.9,28,Yes
hostess,40,5.214285714,4.12,25,Yes
hotel,28,5.695652174,4.93,27,Yes
hotplate,21,5.230769231,4.7,28,Yes
hound,45,4.962962963,4.48,27,Yes
hourglass,31,4.583333333,4.93,34,No
house,50,5.782608696,5,36,No
houseboat,37,4.956521739,4.74,35,No
houseboy,17,4.583333333,4.26,25,Yes
housecoat,24,5.653846154,4.89,31,No
housefly,22,4.541666667,4.96,25,Yes
housekeeper,41,4.458333333,4.36,36,No
housemaid,27,4.84,4.52,28,Yes
housewife,34,5.2,4.43,28,Yes
hubcap,46,4.833333333,5,30,No
hug,34,4.652173913,4.14,27,Yes
human,51,5.666666667,4.93,25,Yes
hurdle,38,4.36,3.97,34,No
husband,48,6.041666667,4.11,27,Yes
husk,26,4.304347826,4.86,26,Yes
husky,29,4.892857143,3.59,29,Yes
hut,33,5.130434783,4.65,37,No
hutch,38,4.708333333,4.31,30,No
hypnotist,29,4.44,4.07,29,Yes
ice,40,5.458333333,4.89,31,No
iceboat,40,4.37037037,4.78,25,Yes
icebox,24,5.181818182,4.71,27,Yes
icepick,28,5.416666667,4.68,27,Yes
icing,29,4.76,4.66,33,No
igloo,34,4.851851852,4.73,25,Yes
iguana,31,5.166666667,4.83,28,Yes
illustrator,26,4.48,3.76,31,No
incubator,33,4.291666667,4.65,36,No
infant,45,6.038461538,4.93,28,Yes
ingredients,30,4.958333333,4.16,48,No
ink,38,5.56,4.56,37,No
insect,44,5.125,4.89,34,No
insole,19,4.454545455,4.11,31,No
inspector,43,4.391304348,4.62,33,No
instructor,32,4.583333333,4.26,32,No
instrument,28,5.739130435,4.27,26,Yes
insulin,16,4.625,4.37,26,Yes
intercom,37,4.695652174,4.67,35,No
intern,50,4.791666667,3.86,31,No
interviewer,38,4.75,4.47,33,No
inventor,25,4.391304348,3.82,30,No
investigator,32,4.888888889,4.37,30,No
iron,36,5.538461538,4.59,27,Yes
item,39,5.739130435,4.41,25,Yes
jacket,32,6.333333333,4.86,27,Yes
jaguar,35,4.826086957,4.9,32,No
jam,36,5.173913043,4.71,29,Yes
jar,25,6.208333333,5,28,Yes
jasmine,36,4.32,4.55,27,Yes
javelin,31,5.833333333,4.9,26,Yes
jaw,40,5.5,4.87,38,No
jawbreaker,27,5.28,4.22,28,Yes
jeans,23,6.44,5,58,No
jeep,22,5.409090909,4.8,26,Yes
jelly,25,5.48,4.93,26,Yes
jersey,30,5.8,4.56,29,Yes
jet,42,5.041666667,4.77,40,No
jewel,29,5.44,4.96,29,Yes
jeweler,30,4.695652174,4.61,40,No
jewelry,24,6.576923077,4.82,27,Yes
jockstrap,15,5.739130435,4.97,27,Yes
jogger,28,5,4.68,32,No
joint,29,4.375,4.37,30,No
journal,49,6,4.63,33,No
journalist,46,4.5,4.04,27,Yes
joystick,19,6.12,4.74,33,No
juice,36,5.739130435,4.89,33,No
jukebox,41,5.8,4.93,26,Yes
jumper,37,4.296296296,4.03,27,Yes
junk,30,4.962962963,3.88,26,Yes
jurist,41,4.380952381,3.96,31,No
juror,37,4.782608696,4.29,31,No
kale,29,5.652173913,4.81,26,Yes
kaleidoscope,32,5.84,4.79,35,No
kazoo,23,5.6,4.85,32,No
kebab,31,5.916666667,4.85,27,Yes
keepsake,34,4.75,3.89,34,No
keg,35,4.962962963,4.75,25,Yes
kelp,26,4.826086957,4.9,28,Yes
kerchief,30,5.666666667,4.85,25,Yes
kernel,24,4.5,4.21,27,Yes
ketchup,23,6.304347826,5,39,No
kettle,24,5.44,4.75,28,Yes
kettledrum,25,4.916666667,4.9,31,No
key,34,6.28,4.89,29,Yes
keyboard,26,6.08,4.93,29,Yes
keyhole,23,5.44,4.63,31,No
kid,37,5.68,4.56,53,No
kidney,27,4.68,4.96,25,Yes
kiln,20,4.304347826,4.82,29,Yes
kilt,28,5.04,4.71,29,Yes
kindle,27,4.4,3.74,25,Yes
kindling,37,4.583333333,3.76,30,No
kiss,24,4.571428571,4.48,54,No
kit,33,4.739130435,4.47,37,No
kitchen,27,5.625,4.97,30,No
kitchenette,22,4.782608696,4.56,26,Yes
kite,27,5.8,5,25,Yes
kitten,32,6.4,4.86,26,Yes
kitty,29,6.043478261,4.97,35,No
kiwi,40,6.08,4.86,33,No
kleenex,28,6.043478261,4.92,28,Yes
knapsack,24,5.84,4.9,26,Yes
knee,27,5.818181818,5,28,Yes
kneecap,48,5.714285714,4.7,36,No
knickers,36,5.5,4.54,32,No
knitting,24,4.304347826,4.14,29,Yes
knob,19,5.888888889,4.75,27,Yes
knot,29,5.76,4.87,29,Yes
knuckle,22,5.76,4.93,53,No
kumquat,35,5.619047619,4.88,25,Yes
label,44,5.375,4.46,37,No
laboratory,24,4.739130435,4.46,28,Yes
